file,layer,item_type,item_name
utility/odbc_sql_server.py,utility,python_def,deleteTable
utility/odbc_sql_server.py,utility,python_def,deleteView
utility/odbc_sql_server.py,utility,python_def,dataframeFromTable
utility/odbc_sql_server.py,utility,python_def,insertPandasDataFrame
utility/odbc_sql_server.py,utility,python_def,executeSQLStatement
utility/odbc_sql_server.py,utility,python_def,returnDataProcessMetadata
utility/odbc_sql_server.py,utility,python_def,returnDataProcessDependencyMetadata
utility/odbc_sql_server.py,utility,python_def,updateDataProcessMetadata
utility/odbc_sql_server.py,utility,python_def,updateDataProcessDependencyMetadata
utility/odbc_sql_server.py,utility,python_def,indicateMetadataPromotion
utility/odbc_sql_server.py,utility,python_def,indicateDependencyMetadataPromotion
utility/odbc_sql_server.py,utility,python_def,disableMetadataPromotion
utility/odbc_sql_server.py,utility,python_def,disableDependencyMetadataPromotion
utility/recursive_query_processor.py,utility,python_def,__init__
utility/recursive_query_processor.py,utility,python_def,create_anchor_member
utility/recursive_query_processor.py,utility,python_def,execute_recursive_query
utility/recursive_query_processor.py,utility,python_def,createFinalDataframe
utility/recursive_query_processor.py,utility,python_def,process
utility/user_defined_functions.py,utility,python_def,julian_to_date_df
utility/user_defined_functions.py,utility,python_def,convert_single_date
utility/user_defined_functions.py,utility,python_def,convert_single_date_column
miscellaneous_scripts/azure_cost_management_api_/source_to_bronze_actualcost.py,miscellaneous_scripts,python_def,get_access_token
miscellaneous_scripts/azure_cost_management_api_/source_to_bronze_actualcost.py,miscellaneous_scripts,python_def,get_cost_data
miscellaneous_scripts/azure_cost_management_api_/source_to_bronze_amortizedcost.py,miscellaneous_scripts,python_def,get_access_token
miscellaneous_scripts/azure_cost_management_api_/source_to_bronze_amortizedcost.py,miscellaneous_scripts,python_def,get_cost_data
environment_promotion/metadata_promotion_scripts/run_adf_promote_metadata_pipeline.py,environment_promotion,python_def,create_adf_client
environment_promotion/metadata_promotion_scripts/run_adf_promote_metadata_pipeline.py,environment_promotion,python_def,create_resource_client
environment_promotion/metadata_promotion_scripts/run_adf_promote_metadata_pipeline.py,environment_promotion,python_def,run_adf_pipeline
environment_promotion/misc_scripts/Bug_6438_p6_fact_task_rename_baseline_fields.sql,environment_promotion,sql_table,CREATE OR REPLACE table archive.fact_task_20240809 deep clone schedule.fact_task
300_silver_to_gold/conformed/silver_to_gold_dim_date.py,300_silver_to_gold,python_def,get_fiscal_year
300_silver_to_gold/conformed/silver_to_gold_dim_date.py,300_silver_to_gold,python_def,get_fiscal_quarter
300_silver_to_gold/conformed/silver_to_gold_dim_date.py,300_silver_to_gold,python_def,get_previous_fiscal_quarter
300_silver_to_gold/conformed/silver_to_gold_dim_date.py,300_silver_to_gold,python_def,get_fiscal_month
300_silver_to_gold/conformed/silver_to_gold_dim_date.py,300_silver_to_gold,python_def,get_previous_fiscal_month
300_silver_to_gold/cosential/silver_to_gold_dim_cosential_contact.py,300_silver_to_gold,python_def,modify_column_name
300_silver_to_gold/equipment/silver_to_gold_fact_maint_schedule.py,300_silver_to_gold,python_def,cast_specific_keys
300_silver_to_gold/equipment/silver_to_gold_fact_maint_schedule.py,300_silver_to_gold,python_def,load_base_table
300_silver_to_gold/equipment/silver_to_gold_fact_maint_schedule.py,300_silver_to_gold,python_def,join_equipment_dimension
300_silver_to_gold/equipment/silver_to_gold_fact_maint_schedule.py,300_silver_to_gold,python_def,join_work_order_dimension
300_silver_to_gold/equipment/silver_to_gold_fact_maint_schedule.py,300_silver_to_gold,python_def,join_schedule_type_dimension
300_silver_to_gold/equipment/silver_to_gold_fact_maint_schedule.py,300_silver_to_gold,python_def,join_schedule_status_dimension
300_silver_to_gold/equipment/silver_to_gold_fact_maint_schedule.py,300_silver_to_gold,python_def,cast_key_columns_to_string
300_silver_to_gold/equipment/silver_to_gold_fact_maint_schedule.py,300_silver_to_gold,python_def,apply_implicit_decimal_adjustments
300_silver_to_gold/equipment/silver_to_gold_fact_maint_schedule.py,300_silver_to_gold,python_def,calculate_maintenance_metrics
300_silver_to_gold/equipment/silver_to_gold_fact_maint_schedule.py,300_silver_to_gold,python_def,apply_final_column_transformations
300_silver_to_gold/equipment/silver_to_gold_fact_maint_schedule.py,300_silver_to_gold,python_def,apply_final_column_transformations
300_silver_to_gold/equipment/silver_to_gold_fact_maint_schedule.py,300_silver_to_gold,python_def,create_maintenance_schedule_df
300_silver_to_gold/equipment/silver_to_gold_fact_maint_schedule.py,300_silver_to_gold,python_def,get_maintenance_df
300_silver_to_gold/proforma/silver_to_gold_fact_proforma.py,300_silver_to_gold,python_def,select_environment_string
300_silver_to_gold/project_management/silver_to_gold_dim_cco.py,300_silver_to_gold,python_def,HTMLClean
300_silver_to_gold/project_management/silver_to_gold_dim_contract_vco.py,300_silver_to_gold,python_def,HTMLClean
300_silver_to_gold/project_management/silver_to_gold_dim_cor.py,300_silver_to_gold,python_def,HTMLClean
300_silver_to_gold/project_management/silver_to_gold_dim_issue.py,300_silver_to_gold,python_def,HTMLClean
300_silver_to_gold/schedule/silver_to_gold_dim_predecessor_task.py,300_silver_to_gold,python_def,get_data_type_for_column
300_silver_to_gold/schedule/silver_to_gold_dim_predecessor_task.py,300_silver_to_gold,python_def,add_unknown_record_to_dataframe
300_silver_to_gold/weld_office/silver_to_gold_vw_wps_process_expiry_mapping.py,300_silver_to_gold,python_def,explode_qualifications_to_columns
300_silver_to_gold/z_backfill/p6_fact_task_float_trend_weekly.py,300_silver_to_gold,python_def,min_export_date
100_raw_to_bronze/azure_cost_management_api/source_to_bronze_actualcost.py,100_raw_to_bronze,python_def,get_access_token
100_raw_to_bronze/azure_cost_management_api/source_to_bronze_actualcost.py,100_raw_to_bronze,python_def,get_cost_data
100_raw_to_bronze/azure_cost_management_api/source_to_bronze_amortizedcost.py,100_raw_to_bronze,python_def,get_access_token
100_raw_to_bronze/azure_cost_management_api/source_to_bronze_amortizedcost.py,100_raw_to_bronze,python_def,get_cost_data
100_raw_to_bronze/b2g/raw_to_bronze_b2g_api_contract.py,100_raw_to_bronze,python_def,get_text
100_raw_to_bronze/b2g/raw_to_bronze_b2g_api_contract.py,100_raw_to_bronze,python_def,to_float
100_raw_to_bronze/b2g/raw_to_bronze_b2g_api_contract_vendor.py,100_raw_to_bronze,python_def,get_text
100_raw_to_bronze/cslb_data/source_to_bronze_california_license_data.py,100_raw_to_bronze,python_def,makeexpr
100_raw_to_bronze/cslb_data/source_to_bronze_california_license_data_v2.py,100_raw_to_bronze,python_def,makeexpr
100_raw_to_bronze/nccer/raw_to_bronze_nccer_credentials.py,100_raw_to_bronze,python_def,get_token
100_raw_to_bronze/nccer/raw_to_bronze_nccer_credentials.py,100_raw_to_bronze,python_def,get_json_with_refresh
100_raw_to_bronze/nccer/raw_to_bronze_nccer_credentials.py,100_raw_to_bronze,python_def,normalize_to_rows
100_raw_to_bronze/sitesense/raw_to_bronze_sitesense.py,100_raw_to_bronze,python_def,send_query
100_raw_to_bronze/sitesense/raw_to_bronze_sitesense.py,100_raw_to_bronze,python_def,pull_dataframe
100_raw_to_bronze/tradetapp/source_to_bronze_financials.py,100_raw_to_bronze,python_def,flatten_financials_dynamic
100_raw_to_bronze/tradetapp/source_to_bronze_financials.py,100_raw_to_bronze,python_def,get_val
100_raw_to_bronze/tradetapp/source_to_bronze_financials.py,100_raw_to_bronze,python_def,flatten_list_to_string
100_raw_to_bronze/tradetapp/source_to_bronze_financials.py,100_raw_to_bronze,python_def,_parse_date
100_raw_to_bronze/tradetapp/source_to_bronze_qualifications.py,100_raw_to_bronze,python_def,flatten_responses_dynamic
100_raw_to_bronze/tradetapp/source_to_bronze_qualifications.py,100_raw_to_bronze,python_def,get_val
100_raw_to_bronze/tradetapp/source_to_bronze_qualifications.py,100_raw_to_bronze,python_def,flatten_list_to_string
100_raw_to_bronze/vairkko/raw_to_bronze_vairkko_certifications.py,100_raw_to_bronze,python_def,get_xml
